,id,name
0,19822,AKEBONO(EXOS-D)
1,20580,HST
2,23802,POLAR
3,25560,SWAS
4,25635,ORSTED
5,25867,CXO
6,25989,XMM-NEWTON
7,25994,TERRA
8,26410,CLUSTERII-FM6(SALSA)
9,26411,CLUSTERII-FM7(SAMBA)
10,26463,CLUSTERII-FM5(RUMBA)
11,26464,CLUSTERII-FM8(TANGO)
12,26702,ODIN
13,26998,TIMED
14,27370,RHESSI
,27424,AQUA
15,27540,INTEGRAL
16,27640,CORIOLIS
17,27651,SORCE
18,27843,MOST
19,27858,SCISAT1
20,28485,SWIFT
21,29047,FORMOSAT-3FM6
22,29048,FORMOSAT-3FM1
23,29049,FORMOSAT-3FM5
24,29050,FORMOSAT-3FM3
25,29051,FORMOSAT-3FM4
26,29052,FORMOSAT-3FM2
27,29107,CLOUDSAT
28,29108,CALIPSO
29,29479,HINODE(SOLAR-B)
30,29505,SJ-6C
31,29506,SJ-6D
32,31135,AGILE
33,31304,AIM
34,33053,FGRST(GLAST)
35,33401,IBEX
36,36119,WISE
37,36395,SDO
38,36508,CRYOSAT2
,37849,SUOMI
39,38337,GCOM-W1(SHIZUKU)
40,38358,NUSTAR
41,38752,RBSPA
42,38753,RBSPB
43,39089,NEOSSAT
44,39091,BRITE-AUSTRIA
45,39092,UNIBRITE
46,39197,IRIS
47,39253,HISAKI(SPRINT-A)
48,39265,CASSIOPE
49,39267,DANDE
50,39422,STSAT-3
51,39431,BRITE-PL
52,39451,SWARMB
53,39452,SWARMA
54,39453,SWARMC
55,40020,BRITE-TORONTO
56,40059,OCO2
57,40119,BRITE-PL2
58,40360,RESURSP2
59,40482,MMS1
60,40483,MMS2
61,40484,MMS3
62,40485,MMS4
63,40930,ASTROSAT
64,41173,DAMPE
65,41784,PISAT
